Quest ID,Quest Title,Quest URL,Comments
1,"The ""Chow"" Quest (123)aa",https://www.wowhead.com/classic/quest=1,
2,Sharptalon's Claw,https://www.wowhead.com/classic/quest=2,
3,Classic Quests,https://www.wowhead.com/classic/quest=3,
4,Classic Quests,https://www.wowhead.com/classic/quest=4,
5,Jitters' Growling Gut,https://www.wowhead.com/classic/quest=5,
6,Bounty on Garrick Padfoot,https://www.wowhead.com/classic/quest=6,
7,Kobold Camp Cleanup,https://www.wowhead.com/classic/quest=7,
8,A Rogue's Deal,https://www.wowhead.com/classic/quest=8,
9,The Killing Fields,https://www.wowhead.com/classic/quest=9,
10,The Scrimshank Redemption,https://www.wowhead.com/classic/quest=10,
11,Riverpaw Gnoll Bounty,https://www.wowhead.com/classic/quest=11,
12,The People's Militia,https://www.wowhead.com/classic/quest=12,
13,The People's Militia,https://www.wowhead.com/classic/quest=13,
14,The People's Militia,https://www.wowhead.com/classic/quest=14,
15,Investigate Echo Ridge,https://www.wowhead.com/classic/quest=15,
16,Give Gerard a Drink,https://www.wowhead.com/classic/quest=16,
17,Uldaman Reagent Run,https://www.wowhead.com/classic/quest=17,
18,Brotherhood of Thieves,https://www.wowhead.com/classic/quest=18,
19,Tharil'zun,https://www.wowhead.com/classic/quest=19,
20,Blackrock Menace,https://www.wowhead.com/classic/quest=20,
21,Skirmish at Echo Ridge,https://www.wowhead.com/classic/quest=21,
22,Goretusk Liver Pie,https://www.wowhead.com/classic/quest=22,
23,Ursangous's Paw,https://www.wowhead.com/classic/quest=23,
24,Shadumbra's Head,https://www.wowhead.com/classic/quest=24,
25,Stonetalon Standstill,https://www.wowhead.com/classic/quest=25,
26,A Lesson to Learn,https://www.wowhead.com/classic/quest=26,
27,A Lesson to Learn,https://www.wowhead.com/classic/quest=27,
28,Trial of the Lake,https://www.wowhead.com/classic/quest=28,
29,Trial of the Lake,https://www.wowhead.com/classic/quest=29,
30,Trial of the Sea Lion,https://www.wowhead.com/classic/quest=30,
31,Aquatic Form,https://www.wowhead.com/classic/quest=31,
32,Rise of the Silithid,https://www.wowhead.com/classic/quest=32,
33,Wolves Across the Border,https://www.wowhead.com/classic/quest=33,
34,An Unwelcome Guest,https://www.wowhead.com/classic/quest=34,
35,Further Concerns,https://www.wowhead.com/classic/quest=35,
36,Westfall Stew,https://www.wowhead.com/classic/quest=36,
37,Find the Lost Guards,https://www.wowhead.com/classic/quest=37,
38,Westfall Stew,https://www.wowhead.com/classic/quest=38,
39,Deliver Thomas' Report,https://www.wowhead.com/classic/quest=39,
40,A Fishy Peril,https://www.wowhead.com/classic/quest=40,
41,Classic Quests,https://www.wowhead.com/classic/quest=41,
42,Classic Quests,https://www.wowhead.com/classic/quest=42,
43,Classic Quests,https://www.wowhead.com/classic/quest=43,
44,Classic Quests,https://www.wowhead.com/classic/quest=44,
45,Discover Rolf's Fate,https://www.wowhead.com/classic/quest=45,
46,Bounty on Murlocs,https://www.wowhead.com/classic/quest=46,
47,Gold Dust Exchange,https://www.wowhead.com/classic/quest=47,
48,Sweet Amber,https://www.wowhead.com/classic/quest=48,
49,Sweet Amber,https://www.wowhead.com/classic/quest=49,
50,Sweet Amber,https://www.wowhead.com/classic/quest=50,
51,Sweet Amber,https://www.wowhead.com/classic/quest=51,
52,Protect the Frontier,https://www.wowhead.com/classic/quest=52,
53,Sweet Amber,https://www.wowhead.com/classic/quest=53,
54,Report to Goldshire,https://www.wowhead.com/classic/quest=54,
55,Morbent Fel,https://www.wowhead.com/classic/quest=55,
56,The Night Watch,https://www.wowhead.com/classic/quest=56,
57,The Night Watch,https://www.wowhead.com/classic/quest=57,
58,The Night Watch,https://www.wowhead.com/classic/quest=58,
59,Cloth and Leather Armor,https://www.wowhead.com/classic/quest=59,
60,Kobold Candles,https://www.wowhead.com/classic/quest=60,
61,Shipment to Stormwind,https://www.wowhead.com/classic/quest=61,
62,The Fargodeep Mine,https://www.wowhead.com/classic/quest=62,
63,Call of Water,https://www.wowhead.com/classic/quest=63,
64,The Forgotten Heirloom,https://www.wowhead.com/classic/quest=64,
65,The Defias Brotherhood,https://www.wowhead.com/classic/quest=65,
66,The Legend of Stalvan,https://www.wowhead.com/classic/quest=66,
67,The Legend of Stalvan,https://www.wowhead.com/classic/quest=67,
68,The Legend of Stalvan,https://www.wowhead.com/classic/quest=68,
69,The Legend of Stalvan,https://www.wowhead.com/classic/quest=69,
70,The Legend of Stalvan,https://www.wowhead.com/classic/quest=70,
71,Report to Thomas,https://www.wowhead.com/classic/quest=71,
72,The Legend of Stalvan,https://www.wowhead.com/classic/quest=72,
73,<TXT> No Reward,https://www.wowhead.com/classic/quest=73,
74,The Legend of Stalvan,https://www.wowhead.com/classic/quest=74,
75,The Legend of Stalvan,https://www.wowhead.com/classic/quest=75,
76,The Jasperlode Mine,https://www.wowhead.com/classic/quest=76,
77,A Sticky Situation,https://www.wowhead.com/classic/quest=77,
78,The Legend of Stalvan,https://www.wowhead.com/classic/quest=78,
79,The Legend of Stalvan,https://www.wowhead.com/classic/quest=79,
80,The Legend of Stalvan,https://www.wowhead.com/classic/quest=80,
81,Ripple Delivery,https://www.wowhead.com/classic/quest=81,
82,Noxious Lair Investigation,https://www.wowhead.com/classic/quest=82,
83,Red Linen Goods,https://www.wowhead.com/classic/quest=83,
84,Back to Billy,https://www.wowhead.com/classic/quest=84,
85,Lost Necklace,https://www.wowhead.com/classic/quest=85,
86,Pie for Billy,https://www.wowhead.com/classic/quest=86,
87,Goldtooth,https://www.wowhead.com/classic/quest=87,
88,Princess Must Die!,https://www.wowhead.com/classic/quest=88,
89,The Everstill Bridge,https://www.wowhead.com/classic/quest=89,
90,Seasoned Wolf Kabobs,https://www.wowhead.com/classic/quest=90,
91,Solomon's Law,https://www.wowhead.com/classic/quest=91,
92,Redridge Goulash,https://www.wowhead.com/classic/quest=92,
93,Dusky Crab Cakes,https://www.wowhead.com/classic/quest=93,
94,A Watchful Eye,https://www.wowhead.com/classic/quest=94,
95,Sven's Revenge,https://www.wowhead.com/classic/quest=95,
96,Call of Water,https://www.wowhead.com/classic/quest=96,
97,The Legend of Stalvan,https://www.wowhead.com/classic/quest=97,
98,The Legend of Stalvan,https://www.wowhead.com/classic/quest=98,
99,Arugal's Folly,https://www.wowhead.com/classic/quest=99,
100,Call of Water,https://www.wowhead.com/classic/quest=100,
101,The Totem of Infliction,https://www.wowhead.com/classic/quest=101,
102,Patrolling Westfall,https://www.wowhead.com/classic/quest=102,
103,Keeper of the Flame,https://www.wowhead.com/classic/quest=103,
104,The Coastal Menace,https://www.wowhead.com/classic/quest=104,
105,"Alas, Andorhal",https://www.wowhead.com/classic/quest=105,
106,Young Lovers,https://www.wowhead.com/classic/quest=106,
107,Note to William,https://www.wowhead.com/classic/quest=107,
108,<TXT> Mystery Reward,https://www.wowhead.com/classic/quest=108,
109,Report to Gryan Stoutmantle,https://www.wowhead.com/classic/quest=109,
110,Insect Part Analysis,https://www.wowhead.com/classic/quest=110,
111,Speak with Gramma,https://www.wowhead.com/classic/quest=111,
112,Collecting Kelp,https://www.wowhead.com/classic/quest=112,
113,Insect Part Analysis,https://www.wowhead.com/classic/quest=113,
114,The Escape,https://www.wowhead.com/classic/quest=114,
115,Shadow Magic,https://www.wowhead.com/classic/quest=115,
116,Dry Times,https://www.wowhead.com/classic/quest=116,
117,Thunderbrew,https://www.wowhead.com/classic/quest=117,
118,The Price of Shoes,https://www.wowhead.com/classic/quest=118,
119,Return to Verner,https://www.wowhead.com/classic/quest=119,
120,Messenger to Stormwind,https://www.wowhead.com/classic/quest=120,
121,Messenger to Stormwind,https://www.wowhead.com/classic/quest=121,
122,Underbelly Scales,https://www.wowhead.com/classic/quest=122,
123,The Collector,https://www.wowhead.com/classic/quest=123,
124,A Baying of Gnolls,https://www.wowhead.com/classic/quest=124,
125,The Lost Tools,https://www.wowhead.com/classic/quest=125,
126,Howling in the Hills,https://www.wowhead.com/classic/quest=126,
127,Selling Fish,https://www.wowhead.com/classic/quest=127,
128,Blackrock Bounty,https://www.wowhead.com/classic/quest=128,
129,A Free Lunch,https://www.wowhead.com/classic/quest=129,
130,Visit the Herbalist,https://www.wowhead.com/classic/quest=130,
131,Delivering Daffodils,https://www.wowhead.com/classic/quest=131,
132,The Defias Brotherhood,https://www.wowhead.com/classic/quest=132,
133,Ghoulish Effigy,https://www.wowhead.com/classic/quest=133,
134,Ogre Thieves,https://www.wowhead.com/classic/quest=134,
135,The Defias Brotherhood,https://www.wowhead.com/classic/quest=135,
136,Captain Sander's Hidden Treasure,https://www.wowhead.com/classic/quest=136,
137,<NYI> <TXT> Stormwind Commendation,https://www.wowhead.com/classic/quest=137,
138,Captain Sander's Hidden Treasure,https://www.wowhead.com/classic/quest=138,
139,Captain Sander's Hidden Treasure,https://www.wowhead.com/classic/quest=139,
140,Captain Sander's Hidden Treasure,https://www.wowhead.com/classic/quest=140,
141,The Defias Brotherhood,https://www.wowhead.com/classic/quest=141,
142,The Defias Brotherhood,https://www.wowhead.com/classic/quest=142,
143,Messenger to Westfall,https://www.wowhead.com/classic/quest=143,
144,Messenger to Westfall,https://www.wowhead.com/classic/quest=144,
145,Messenger to Darkshire,https://www.wowhead.com/classic/quest=145,
146,Messenger to Darkshire,https://www.wowhead.com/classic/quest=146,
147,Manhunt,https://www.wowhead.com/classic/quest=147,
